Title,Artist,Release Date,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,RND
Used to Be,AJ Mitchell,5/25/2018,121,47,47,-6,26,2:55,72,75,6856
Maniac,Conan Gray,10/25/2019,108,65,62,-5,52,3:06,0,81,1552
Flames (with ZAYN),R3HAB,11/15/2019,152,64,36,-8,44,2:36,16,55,2807
Body Back (feat. Maia Wright),Gryffin,10/18/2019,123,83,69,-4,49,3:35,9,76,3476
Can We Kiss Forever?,Kina,8/31/2018,110,13,49,-19,12,3:08,90,86,57
VALENTINO,24kGoldn,1/25/2019,151,72,75,-5,54,2:59,20,87,7075
All You Need To Know (feat. Calle Lehmann),Gryffin,3/27/2019,140,79,51,-5,23,3:58,1,78,7061
Yellow Hearts,Ant Saunders,6/18/2019,129,40,87,-11,71,3:43,12,79,2727
Before You Go,Lewis Capaldi,11/19/2019,112,57,46,-5,18,3:35,60,89,9066
It's You,Ali Gatie,11/8/2019,96,46,73,-7,40,3:33,37,88,6848
Reforget - Milk N Cooks Remix,Lauv,5/30/2018,98,74,68,-5,16,3:53,8,51,6129
Sweet Creature,Harry Styles,5/12/2017,104,26,43,-9,23,3:45,75,77,5323
I Don't Want You Back,AJ Mitchell,7/20/2018,110,35,61,-6,25,3:44,59,73,7913
Exhale,Sabrina Carpenter,7/19/2019,74,27,51,-11,28,2:45,88,67,3160
tomorrow tonight,Loote,6/14/2019,91,50,32,-8,14,3:23,13,66,3583
Reforget,Lauv,5/31/2018,170,47,44,-8,23,3:52,45,64,3450
Joyride,SONIA,9/13/2019,168,68,74,-5,40,2:42,54,64,3339
Stack It Up (feat. A Boogie Wit da Hoodie),Liam Payne,9/18/2019,100,81,74,-3,61,2:46,15,79,834
Missing You,The Vamps,4/19/2019,80,65,54,-7,53,3:35,17,76,4246
Give Me,Boy In Space,9/28/2018,134,39,59,-10,24,3:30,23,57,2229
Sims,Lauv,10/3/2019,100,40,53,-8,57,2:35,64,72,8115
Euphoria,bülow,4/5/2019,160,45,53,-7,53,3:40,68,47,8078
Lines,bülow,11/3/2017,166,34,81,-10,66,3:21,23,52,9274
Slow Dance,AJ Mitchell,8/9/2019,128,44,69,-6,36,2:59,21,79,1411
Drown,Boy In Space,9/26/2019,119,34,42,-8,21,3:24,41,62,2975
Heartless (feat. Morgan Wallen),Diplo,8/16/2019,111,56,76,-6,26,2:49,28,84,8355
Trampoline (with ZAYN),SHAED,9/26/2019,127,46,62,-6,50,3:04,56,93,7059
Good Thing (with Kehlani),Zedd,9/27/2019,186,56,69,-4,57,3:31,40,88,8997
Rushing Back,Flume,9/25/2019,136,61,57,-5,37,3:52,36,79,2615
This City,Sam Fischer,1/17/2018,74,38,60,-6,52,3:15,73,78,8321
7UP,Boy In Space,5/30/2019,135,47,62,-7,23,3:24,2,63,7766
Cold,Boy In Space,8/8/2019,130,41,71,-7,19,3:24,18,70,9515
at least i look cool,Sasha Sloan,7/19/2019,130,35,83,-10,28,2:52,65,68,3202
mind games,ren,5/3/2019,107,48,71,-7,53,3:42,46,54,3706
Black & Blue,Nina Nesbitt,9/13/2019,142,68,67,-8,59,3:11,61,66,2013
Never Seen the Rain,Tones and I,7/15/2019,87,46,49,-6,32,3:21,44,74,2358
Freaking Me Out,Ava Max,7/31/2019,98,55,43,-5,38,3:12,46,77,2677
To Be Human,MARINA,4/26/2019,96,45,67,-5,27,4:06,56,62,2375
Post Malone (feat. RANI),Sam Feldt,5/24/2019,107,64,59,-4,65,2:54,8,86,1402
Bruises,Lewis Capaldi,5/17/2019,111,31,74,-8,36,3:40,95,88,8637
Dance Monkey,Tones and I,5/10/2019,98,59,82,-6,54,3:30,69,52,5746
Mad Love,Mabel,6/7/2019,198,80,62,-3,62,2:50,67,80,7707
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,7/19/2019,115,84,58,-3,28,3:04,0,61,644
